rank,score,year,tags,query,title,venue,doi,url,type,abstract
66,6,2024,,contact-rich manipulation,RTTF: Rapid Tactile Transfer Framework for Contact-Rich Manipulation Tasks,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros58592.2024.10801764,https://doi.org/10.1109/iros58592.2024.10801764,proceedings-article,
67,6,2024,,sim-to-real robotics,Sim-to-Real Policy Transfer in Deep Reinforcement Learning,"2024 24th International Conference on Control, Automation and Systems (ICCAS)",10.23919/iccas63016.2024.10773220,https://doi.org/10.23919/iccas63016.2024.10773220,proceedings-article,
68,6,2024,,sim-to-real robotics,Sim-to-Real Transfer for Robotics Using Model-Free Curriculum Reinforcement Learning,2024 IEEE International Conference on Industrial Technology (ICIT),10.1109/icit58233.2024.10540995,https://doi.org/10.1109/icit58233.2024.10540995,proceedings-article,
69,6,2024,,robot tactile perception,Snake Robot with Tactile Perception Navigates on Large-scale Challenging Terrain,2024 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra57147.2024.10611384,https://doi.org/10.1109/icra57147.2024.10611384,proceedings-article,
70,6,2023,,contact-rich manipulation,A novel human-robot skill transfer method for contact-rich manipulation task,Robotic Intelligence and Automation,10.1108/ria-01-2023-0002,https://doi.org/10.1108/ria-01-2023-0002,journal-article,"<jats:sec>
<jats:title content-type=""abstract-subheading"">Purpose</jats:title>
<jats:p>The purpose of this paper is to enhance the robot’s ability to complete multi-step contact tasks in unknown or dynamic environments, as well as the generalization ability of the same task in different environments.</jats:p>
</jats:sec>
<jats:sec>
<jats:title content-type=""abstract-subheading"">Design/methodology/approach</jats:title>
<jats:p>This paper proposes a framework that combines learning from demonstrat"
71,6,2023,,contact-rich manipulation,Augmentation Enables One-Shot Generalization in Learning from Demonstration for Contact-Rich Manipulation,2023 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros55552.2023.10341625,https://doi.org/10.1109/iros55552.2023.10341625,proceedings-article,
72,6,2023,,robot tactile perception,Embodied Active Tactile Perception,IOP Conference Series: Materials Science and Engineering,10.1088/1757-899x/1292/1/012007,https://doi.org/10.1088/1757-899x/1292/1/012007,journal-article,"<jats:title>Abstract</jats:title>
               <jats:p>Tactile perception plays an important role in an agent safely interacting with the environment while acquiring information about it. Bio-inspired robotics opens up possibilities for a new paradigm leveraging the morphology of the body, which filters the tactile information in physical interactions and enables investigations of new designs for embodied active tactile perception. The subjects of morphology embodied active perception and moto"
73,6,2023,,vision language action robotics,Feature distillation from vision-language model for semisupervised action classification,Turkish Journal of Electrical Engineering and Computer Sciences,10.55730/1300-0632.4038,https://doi.org/10.55730/1300-0632.4038,journal-article,"<jats:p>The training of supervised machine learning approaches is critically dependent on annotating large-scale datasets. Semisupervised learning approaches aim to achieve compatible performance with supervised methods using relatively less annotation without sacrificing good generalization capacity. In line with this objective, ways of leveraging unlabeled data have been the subject of intense research. However, semisupervised video action recognition has received relatively less attention com"
74,6,2023,,embodied intelligence scaling,On the Timescales of Embodied Intelligence for Autonomous Adaptive Systems,"Annual Review of Control, Robotics, and Autonomous Systems",10.1146/annurev-control-063022-094301,https://doi.org/10.1146/annurev-control-063022-094301,journal-article,"<jats:p>Embodiment is a crucial concept for the autonomy and adaptivity of systems working in the physical world with high degrees of uncertainty and complexity. The physical bodies of autonomous adaptive systems heavily influence the information flow from the environment to the central processing (and vice versa), requiring us to consider the full triad of brain, body, and environment to investigate intelligent behavior. This article provides a structured review of embodied intelligence with a "
75,6,2023,,sim-to-real robotics,Robot Manipulation Skills Transfer for Sim-to-Real in Unstructured Environments,Electronics,10.3390/electronics12020411,https://doi.org/10.3390/electronics12020411,journal-article,"<jats:p>Robot force control that needs to be customized for the robot structure in unstructured environments with difficult-to-tune parameters guarantees robots’ compliance and safe human–robot interaction in an increasingly expanding work environment. Although reinforcement learning provides a new idea for the adaptive adjustment of these parameters, the policy often needs to be trained from scratch when used in new robotics, even in the same task. This paper proposes the episodic Natural Actor"
76,6,2023,,embodied intelligence scaling,Scaling down migrant homemaking: home possessions and the embodied experience of home,Handbook on Home and Migration,10.4337/9781800882775.00042,https://doi.org/10.4337/9781800882775.00042,book-chapter,
77,6,2023,,robot tactile perception,Tactile-GAT: Tactile Graph Attention Networks for Robot Tactile Perception Classification,,10.21203/rs.3.rs-3261017/v1,https://doi.org/10.21203/rs.3.rs-3261017/v1,posted-content,"<jats:title>Abstract</jats:title>
        <jats:p>As one of the most important senses in human beings, touch can also help robots better perceive and adapt to complex environmental information, improving their autonomous decision-making and execution capabilities. Compared to other perception methods, tactile perception needs to handle multi-channel tactile signals simultaneously, such as pressure, bending, temperature, and humidity. However, directly transferring deep learning algorithms that w"
78,6,2022,,sim-to-real robotics,Bidirectional Sim-to-Real Transfer for GelSight Tactile Sensors With CycleGAN,IEEE Robotics and Automation Letters,10.1109/lra.2022.3167064,https://doi.org/10.1109/lra.2022.3167064,journal-article,
79,6,2022,,sim-to-real robotics,Cloud-Edge Training Architecture for Sim-to-Real Deep Reinforcement Learning,2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros47612.2022.9981565,https://doi.org/10.1109/iros47612.2022.9981565,proceedings-article,
80,6,2022,,sim-to-real robotics,Dynamic Bipedal Turning through Sim-to-Real Reinforcement Learning,2022 IEEE-RAS 21st International Conference on Humanoid Robots (Humanoids),10.1109/humanoids53995.2022.10000225,https://doi.org/10.1109/humanoids53995.2022.10000225,proceedings-article,
81,6,2022,,embodied intelligence scaling,Embodied Team Intelligence in Multi-Robot Systems,International Joint Conference on Autonomous Agents and Multiagent Systems Proceedings of the Third International Joint Conference on Autonomous Agents and Multiagent Systems - Volume 1,10.65109/txsu5630,https://doi.org/10.65109/txsu5630,proceedings-article,"<jats:p>High-performing human teams leverage intelligent and efficient communication and coordination strategies to collaboratively maximize their joint utility. Inspired by teaming behaviors among humans, I seek to develop computational methods for synthesizing intelligent communication and coordination strategies for collaborative multi-robot systems. I leverage both classical model-based control and planning approaches as well as data-driven methods such as Multi-Agent Reinforcement Learning "
82,6,2022,,robot grasping learning,EMG-Based Grasping Force Estimation for Robot Skill Transfer Learning,Nelineinaya Dinamika,10.20537/nd221221,https://doi.org/10.20537/nd221221,journal-article,"<jats:p>In this study, we discuss a new machine learning architecture, the multilayer preceptron-random forest regressors pipeline (MLP-RF model), which stacks two ML regressors of different kinds to estimate the generated gripping forces from recorded surface electromyographic activity signals (EMG) during a gripping task. We evaluate our proposed approach on a publicly available dataset, putEMG-Force, which represents a sEMG-Force data profile. The sEMG signals were then filtered and preproces"
83,6,2022,,sim-to-real robotics,Grasp Stability Prediction with Sim-to-Real Transfer from Tactile Sensing,2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros47612.2022.9981863,https://doi.org/10.1109/iros47612.2022.9981863,proceedings-article,
84,6,2022,,sim-to-real robotics,Zero-shot sim-to-real transfer of reinforcement learning framework for robotics manipulation with demonstration and force feedback,Robotica,10.1017/s0263574722001230,https://doi.org/10.1017/s0263574722001230,journal-article,"<jats:title>Abstract</jats:title><jats:p>In the field of robot reinforcement learning (RL), the reality gap has always been a problem that restricts the robustness and generalization of algorithms. We propose Simulation Twin (SimTwin) : a deep RL framework that can help directly transfer the model from simulation to reality without any real-world training. SimTwin consists of a RL module and an adaptive correct module. We train the policy using the soft actor-critic algorithm only in a simulator"
85,6,2021,,sim-to-real robotics,Blind Bipedal Stair Traversal via Sim-to-Real Reinforcement Learning,Robotics: Science and Systems XVII,10.15607/rss.2021.xvii.061,https://doi.org/10.15607/rss.2021.xvii.061,proceedings-article,
86,6,2021,,sim-to-real robotics,Characterization of Modeling Errors Affecting Performances of a Robotics Deep Reinforcement Learning Controller in a Sim-to-Real Transfer,"2021 44th International Convention on Information, Communication and Electronic Technology (MIPRO)",10.23919/mipro52101.2021.9596864,https://doi.org/10.23919/mipro52101.2021.9596864,proceedings-article,
87,6,2021,,embodied intelligence scaling,Embodied intelligence via learning and evolution,Nature Communications,10.1038/s41467-021-25874-z,https://doi.org/10.1038/s41467-021-25874-z,journal-article,"<jats:title>Abstract</jats:title><jats:p>The intertwined processes of learning and evolution in complex environmental niches have resulted in a remarkable diversity of morphological forms. Moreover, many aspects of animal intelligence are deeply embodied in these evolved morphologies. However, the principles governing relations between environmental complexity, evolved morphology, and the learnability of intelligent control, remain elusive, because performing large-scale in silico experiments on"
88,6,2021,,sim-to-real robotics,Grounded action transformation for sim-to-real reinforcement learning,Machine Learning,10.1007/s10994-021-05982-z,https://doi.org/10.1007/s10994-021-05982-z,journal-article,"<jats:title>Abstract</jats:title><jats:p>Reinforcement learning in simulation is a promising alternative to the prohibitive sample cost of reinforcement learning in the physical world. Unfortunately, policies learned in simulation often perform worse than hand-coded policies when applied on the target, physical system. Grounded simulation learning (<jats:sc>gsl</jats:sc>) is a general framework that promises to address this issue by altering the simulator to better match the real world (Farchy e"
89,6,2021,,robot reinforcement learning,"Learning for a Robot: Deep Reinforcement Learning, Imitation Learning, Transfer Learning",Sensors,10.3390/s21041278,https://doi.org/10.3390/s21041278,journal-article,"<jats:p>Dexterous manipulation of the robot is an important part of realizing intelligence, but manipulators can only perform simple tasks such as sorting and packing in a structured environment. In view of the existing problem, this paper presents a state-of-the-art survey on an intelligent robot with the capability of autonomous deciding and learning. The paper first reviews the main achievements and research of the robot, which were mainly based on the breakthrough of automatic control and ha"
90,6,2021,,imitation learning robotics,Robot Manipulation Learning Using Generative Adversarial Imitation Learning,Proceedings of the Thirtieth International Joint Conference on Artificial Intelligence,10.24963/ijcai.2021/678,https://doi.org/10.24963/ijcai.2021/678,proceedings-article,"<jats:p>Imitation learning allows learning complex behaviors given demonstrations. Early approaches belonging to either Behavior Cloning or Inverse Reinforcement Learning were however of limited scalability to complex environments. A more promising approach termed as Generative Adversarial Imitation Learning tackles the imitation learning problem by drawing a connection with Generative Adversarial Networks. In this work, we advocate the use of this class of methods and investigate possible exten"
91,6,2021,,imitation learning robotics,Self-Imitation Advantage Learning,International Joint Conference on Autonomous Agents and Multiagent Systems Proceedings of the Third International Joint Conference on Autonomous Agents and Multiagent Systems - Volume 1,10.65109/kkvm3697,https://doi.org/10.65109/kkvm3697,proceedings-article,"<jats:p>Self-imitation learning is a Reinforcement Learning (RL) method that encourages actions whose returns were higher than expected, which helps in hard exploration and sparse reward problems. It was shown to improve the performance of on-policy actor-critic methods in several discrete control tasks. Nevertheless, applying self-imitation to the mostly action-value based off-policy RL methods is not straightforward. We propose SAIL, a novel generalization of self-imitation learning for off-po"
92,6,2021,,sim-to-real robotics,Sim-to-Real Transfer for Robotic Manipulation with Tactile Sensory,2021 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros51168.2021.9636259,https://doi.org/10.1109/iros51168.2021.9636259,proceedings-article,
93,6,2020,,robot tactile perception,Embodied tactile perception and learning,Brain Science Advances,10.26599/bsa.2020.9050012,https://doi.org/10.26599/bsa.2020.9050012,journal-article,"<jats:p>Various living creatures exhibit embodiment intelligence, which is reflected by a collaborative interaction of the brain, body, and environment. The actual behavior of embodiment intelligence is generated by a continuous and dynamic interaction between a subject and the environment through information perception and physical manipulation. The physical interaction between a robot and the environment is the basis for realizing embodied perception and learning. Tactile information plays a c"
94,6,2020,,sim-to-real robotics,Learning of Real-to-Sim Image Transfer with Latent Dynamics Model,The Proceedings of JSME annual Conference on Robotics and Mechatronics (Robomec),10.1299/jsmermd.2020.1p1-b07,https://doi.org/10.1299/jsmermd.2020.1p1-b07,journal-article,
95,6,2020,,sim-to-real robotics,Meta Reinforcement Learning for Sim-to-real Domain Adaptation,2020 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra40945.2020.9196540,https://doi.org/10.1109/icra40945.2020.9196540,proceedings-article,
96,6,2020,,sim-to-real robotics,Real–Sim–Real Transfer for Real-World Robot Control Policy Learning with Deep Reinforcement Learning,Applied Sciences,10.3390/app10051555,https://doi.org/10.3390/app10051555,journal-article,"<jats:p>Compared to traditional data-driven learning methods, recently developed deep reinforcement learning (DRL) approaches can be employed to train robot agents to obtain control policies with appealing performance. However, learning control policies for real-world robots through DRL is costly and cumbersome. A promising alternative is to train policies in simulated environments and transfer the learned policies to real-world scenarios. Unfortunately, due to the reality gap between simulated "
97,6,2020,,sim-to-real robotics,Reinforced Grounded Action Transformation for Sim-to-Real Transfer,2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/iros45743.2020.9341149,https://doi.org/10.1109/iros45743.2020.9341149,proceedings-article,
98,6,2020,,sim-to-real robotics,Scalable sim-to-real transfer of soft robot designs,2020 3rd IEEE International Conference on Soft Robotics (RoboSoft),10.1109/robosoft48309.2020.9116004,https://doi.org/10.1109/robosoft48309.2020.9116004,proceedings-article,
99,6,2020,,robotics scaling law,Scaling data-driven robotics with reward sketching and batch reinforcement learning,Robotics: Science and Systems XVI,10.15607/rss.2020.xvi.076,https://doi.org/10.15607/rss.2020.xvi.076,proceedings-article,
100,6,2020,,sim-to-real robotics,Sim-to-Real Transfer for Optical Tactile Sensing,2020 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra40945.2020.9197512,https://doi.org/10.1109/icra40945.2020.9197512,proceedings-article,
